23/09/2013 09h,23/09/2013 12h,UE1-EC2,Rencontres Médias: Professionnels et Actualités,Mr Szoniecky,P8 A175
23/09/2013 12h,23/09/2013 15h,UE1-EC2,Rencontres Médias: Professionnels et Actualités,Mr Szoniecky,P8 A175
23/09/2013 15h,23/09/2013 18h,,,,
24/09/2013 09h,24/09/2013 12h,,,,
24/09/2013 12h,24/09/2013 15h,,,,
24/09/2013 15h,24/09/2013 18h,,,,
25/09/2013 09h,25/09/2013 12h,,,,
25/09/2013 12h,25/09/2013 15h,,,,
25/09/2013 15h,25/09/2013 18h,,,,
26/09/2013 09h,26/09/2013 12h,UE4-EC1,Participation aux projets de l'entreprise,Entreprise,lieu ?
26/09/2013 12h,26/09/2013 15h,UE4-EC2,Communication en entreprise,Entreprise,lieu ?
26/09/2013 15h,26/09/2013 18h,UE4-EC2,Communication en entreprise,Entreprise,lieu ?
27/09/2013 09h,27/09/2013 12h,UE4-EC1,Participation aux projets de l'entreprise,Entreprise,lieu ?
27/09/2013 12h,27/09/2013 15h,UE4-EC2,Communication en entreprise,Entreprise,lieu ?
27/09/2013 15h,27/09/2013 18h,UE4-EC2,Communication en entreprise,Entreprise,lieu ?
